season,stateoc,agecat,osh,rcu,pi
3,AL,1,1,13,2
3,AL,2,0,18,7
3,AL,2,1,15,3
3,AL,3,0,466,72
3,AL,3,1,709,20
3,AL,4,0,1600,301
3,AL,4,1,2007,44
3,AL,5,0,5700,1281
3,AL,5,1,8965,421
3,AR,1,0,26,3
3,AR,1,1,11,1
3,AR,2,0,7,5
3,AR,2,1,10,0
3,AR,3,0,245,49
3,AR,3,1,455,34
3,AR,4,0,772,151
3,AR,4,1,1380,47
3,AR,5,0,3537,923
3,AR,5,1,6373,445
3,AZ,1,0,44,4
3,AZ,1,1,23,11
3,AZ,2,0,15,4
3,AZ,2,1,16,5
3,AZ,3,0,385,86
3,AZ,3,1,548,48
3,AZ,4,0,1092,221
3,AZ,4,1,1893,118
3,AZ,5,0,4076,887
3,AZ,5,1,11851,918
3,CA,1,0,206,22
3,CA,1,1,98,28
3,CA,2,0,125,24
3,CA,2,1,83,8
3,CA,3,0,2492,465
3,CA,3,1,2907,191
3,CA,4,0,7392,1464
3,CA,4,1,9491,420
3,CA,5,0,30362,8157
3,CA,5,1,60760,4369
3,CO,1,0,31,2
3,CO,1,1,18,7
3,CO,2,0,19,4
3,CO,2,1,6,1
3,CO,3,0,247,34
3,CO,3,1,435,25
3,CO,4,0,694,137
3,CO,4,1,1319,73
3,CO,5,0,2413,504
3,CO,5,1,7493,596
3,CT,1,0,10,0
3,CT,1,1,5,1
3,CT,2,0,5,1
3,CT,2,1,7,1
3,CT,3,0,152,21
3,CT,3,1,229,7
3,CT,4,0,681,108
3,CT,4,1,827,12
3,CT,5,0,4279,887
3,CT,5,1,7072,541
3,DC,1,0,19,1
3,DC,1,1,1,0
3,DC,2,0,12,5
3,DC,2,1,4,3
3,DC,3,0,88,17
3,DC,3,1,58,2
3,DC,4,0,277,35
3,DC,4,1,213,3
3,DC,5,0,772,123
3,DC,5,1,740,31
3,DE,1,0,12,2
3,DE,1,1,5,1
3,DE,2,0,4,0
3,DE,2,1,0,0
3,DE,3,0,60,7
3,DE,3,1,84,3
3,DE,4,0,172,31
3,DE,4,1,284,10
3,DE,5,0,686,156
3,DE,5,1,1790,125
3,FL,1,0,133,13
3,FL,1,1,60,11
3,FL,2,0,61,13
3,FL,2,1,41,3
3,FL,3,0,1250,194
3,FL,3,1,1555,86
3,FL,4,0,4182,647
3,FL,4,1,5953,248
3,FL,5,0,18886,3276
3,FL,5,1,38851,2143
3,GA,1,0,82,10
3,GA,1,1,37,11
3,GA,2,0,28,4
3,GA,2,1,35,8
3,GA,3,0,860,124
3,GA,3,1,1114,49
3,GA,4,0,2452,402
3,GA,4,1,3651,141
3,GA,5,0,7641,1584
3,GA,5,1,15191,1036
3,HI,1,0,9,3
3,HI,1,1,6,1
3,HI,2,0,3,1
3,HI,2,1,4,1
3,HI,3,0,78,10
3,HI,3,1,109,4
3,HI,4,0,282,42
3,HI,4,1,339,27
3,HI,5,0,1258,312
3,HI,5,1,2067,257
3,IA,1,0,8,1
3,IA,1,1,9,3
3,IA,2,0,6,1
3,IA,2,1,6,1
3,IA,3,0,117,21
3,IA,3,1,226,16
3,IA,4,0,489,105
3,IA,4,1,909,31
3,IA,5,0,3009,725
3,IA,5,1,7089,787
3,ID,1,0,8,3
3,ID,1,1,5,0
3,ID,2,0,1,0
3,ID,2,1,8,3
3,ID,3,0,59,8
3,ID,3,1,111,8
3,ID,4,0,213,33
3,ID,4,1,409,21
3,ID,5,0,980,217
3,ID,5,1,2679,254
3,IL,1,0,81,8
3,IL,1,1,23,7
3,IL,2,0,25,6
3,IL,2,1,32,6
3,IL,3,0,635,98
3,IL,3,1,939,53
3,IL,4,0,2272,399
3,IL,4,1,3337,131
3,IL,5,0,11257,2716
3,IL,5,1,20256,1682
3,IN,1,0,46,5
3,IN,1,1,18,4
3,IN,2,0,20,3
3,IN,2,1,13,2
3,IN,3,0,507,91
3,IN,3,1,685,47
3,IN,4,0,1738,328
3,IN,4,1,2179,103
3,IN,5,0,7348,1671
3,IN,5,1,12960,1217
3,KS,1,0,10,3
3,KS,1,1,11,3
3,KS,2,0,6,2
3,KS,2,1,8,0
3,KS,3,0,136,28
3,KS,3,1,234,12
3,KS,4,0,477,87
3,KS,4,1,811,27
3,KS,5,0,2505,643
3,KS,5,1,5309,471
3,KY,1,0,29,1
3,KY,1,1,11,3
3,KY,2,0,10,4
3,KY,2,1,9,4
3,KY,3,0,384,76
3,KY,3,1,586,37
3,KY,4,0,1309,277
3,KY,4,1,1743,66
3,KY,5,0,5450,1409
3,KY,5,1,7998,598
3,LA,1,0,37,4
3,LA,1,1,34,18
3,LA,2,0,9,2
3,LA,2,1,15,3
3,LA,3,0,401,62
3,LA,3,1,591,42
3,LA,4,0,1246,203
3,LA,4,1,1856,60
3,LA,5,0,4578,1046
3,LA,5,1,7192,282
3,MA,1,0,37,1
3,MA,1,1,7,2
3,MA,2,0,16,6
3,MA,2,1,10,0
3,MA,3,0,329,77
3,MA,3,1,434,30
3,MA,4,0,1129,241
3,MA,4,1,1411,61
3,MA,5,0,6594,1788
3,MA,5,1,12117,1324
3,MD,1,0,23,1
3,MD,1,1,16,5
3,MD,2,0,11,5
3,MD,2,1,14,3
3,MD,3,0,307,83
3,MD,3,1,515,30
3,MD,4,0,1017,257
3,MD,4,1,1561,56
3,MD,5,0,4510,1305
3,MD,5,1,9604,690
3,ME,1,0,7,1
3,ME,1,1,6,0
3,ME,2,0,4,1
3,ME,2,1,6,2
3,ME,3,0,68,8
3,ME,3,1,117,7
3,ME,4,0,238,43
3,ME,4,1,388,14
3,ME,5,0,1488,326
3,ME,5,1,2746,292
3,MI,1,0,60,2
3,MI,1,1,23,6
3,MI,2,0,19,7
3,MI,2,1,20,3
3,MI,3,0,538,101
3,MI,3,1,873,52
3,MI,4,0,2187,417
3,MI,4,1,3334,120
3,MI,5,0,10157,2239
3,MI,5,1,19469,1327
3,MN,1,0,17,1
3,MN,1,1,15,8
3,MN,2,0,12,3
3,MN,2,1,9,1
3,MN,3,0,190,32
3,MN,3,1,304,19
3,MN,4,0,708,123
3,MN,4,1,1071,63
3,MN,5,0,3789,788
3,MN,5,1,9498,1010
3,MO,1,0,61,6
3,MO,1,1,14,1
3,MO,2,0,29,8
3,MO,2,1,18,0
3,MO,3,0,425,80
3,MO,3,1,661,32
3,MO,4,0,1497,272
3,MO,4,1,2193,74
3,MO,5,0,6170,1426
3,MO,5,1,12632,998
3,MS,1,0,21,1
3,MS,1,1,24,5
3,MS,2,0,8,1
3,MS,2,1,14,0
3,MS,3,0,313,45
3,MS,3,1,566,14
3,MS,4,0,1022,169
3,MS,4,1,1488,19
3,MS,5,0,4099,956
3,MS,5,1,5633,233
3,MT,1,0,4,2
3,MT,1,1,6,5
3,MT,2,0,2,0
3,MT,2,1,2,0
3,MT,3,0,59,2
3,MT,3,1,80,6
3,MT,4,0,167,28
3,MT,4,1,300,9
3,MT,5,0,919,212
3,MT,5,1,1952,186
3,NC,1,0,51,4
3,NC,1,1,29,5
3,NC,2,0,22,4
3,NC,2,1,27,2
3,NC,3,0,688,145
3,NC,3,1,931,64
3,NC,4,0,2320,487
3,NC,4,1,3203,154
3,NC,5,0,9191,2389
3,NC,5,1,17500,1902
3,ND,1,0,3,1
3,ND,1,1,4,1
3,ND,2,0,0,0
3,ND,2,1,2,0
3,ND,3,0,63,18
3,ND,3,1,42,3
3,ND,4,0,182,35
3,ND,4,1,185,12
3,ND,5,0,1009,230
3,ND,5,1,1438,147
3,NE,1,0,11,2
3,NE,1,1,8,2
3,NE,2,0,7,1
3,NE,2,1,7,3
3,NE,3,0,89,19
3,NE,3,1,126,5
3,NE,4,0,331,57
3,NE,4,1,483,24
3,NE,5,0,1875,439
3,NE,5,1,4078,342
3,NH,1,0,4,1
3,NH,1,1,9,6
3,NH,2,0,0,0
3,NH,2,1,3,0
3,NH,3,0,38,9
3,NH,3,1,62,4
3,NH,4,0,181,30
3,NH,4,1,329,18
3,NH,5,0,1089,238
3,NH,5,1,2486,262
3,NJ,1,0,40,5
3,NJ,1,1,15,3
3,NJ,2,0,14,4
3,NJ,2,1,16,3
3,NJ,3,0,504,98
3,NJ,3,1,614,28
3,NJ,4,0,1594,260
3,NJ,4,1,2105,85
3,NJ,5,0,9184,1789
3,NJ,5,1,16369,915
3,NM,1,0,6,2
3,NM,1,1,8,5
3,NM,2,0,2,1
3,NM,2,1,2,1
3,NM,3,0,100,23
3,NM,3,1,180,27
3,NM,4,0,319,58
3,NM,4,1,632,41
3,NM,5,0,1288,345
3,NM,5,1,3437,325
3,NV,1,0,17,3
3,NV,1,1,11,4
3,NV,2,0,7,2
3,NV,2,1,7,3
3,NV,3,0,214,49
3,NV,3,1,312,18
3,NV,4,0,663,147
3,NV,4,1,1098,29
3,NV,5,0,2289,544
3,NV,5,1,4309,166
3,NY,1,0,116,12
3,NY,1,1,49,11
3,NY,2,0,59,18
3,NY,2,1,38,9
3,NY,3,0,1333,242
3,NY,3,1,1413,85
3,NY,4,0,4540,790
3,NY,4,1,5037,163
3,NY,5,0,24018,5667
3,NY,5,1,33916,1996
3,OH,1,0,78,9
3,OH,1,1,56,20
3,OH,2,0,39,9
3,OH,2,1,30,4
3,OH,3,0,758,138
3,OH,3,1,1193,79
3,OH,4,0,2735,481
3,OH,4,1,4433,211
3,OH,5,0,11248,2383
3,OH,5,1,27420,2509
3,OK,1,0,18,4
3,OK,1,1,14,4
3,OK,2,0,11,2
3,OK,2,1,11,1
3,OK,3,0,293,49
3,OK,3,1,418,26
3,OK,4,0,1218,235
3,OK,4,1,1420,48
3,OK,5,0,4506,1114
3,OK,5,1,7547,500
3,OR,1,0,20,3
3,OR,1,1,9,0
3,OR,2,0,5,0
3,OR,2,1,7,1
3,OR,3,0,193,25
3,OR,3,1,242,15
3,OR,4,0,608,103
3,OR,4,1,1067,40
3,OR,5,0,2810,545
3,OR,5,1,7868,575
3,PA,1,0,61,4
3,PA,1,1,28,11
3,PA,2,0,36,5
3,PA,2,1,29,5
3,PA,3,0,808,146
3,PA,3,1,1085,63
3,PA,4,0,2843,481
3,PA,4,1,3942,175
3,PA,5,0,14671,3119
3,PA,5,1,30127,2314
3,RI,1,0,8,0
3,RI,1,1,2,0
3,RI,2,0,7,2
3,RI,2,1,1,0
3,RI,3,0,55,12
3,RI,3,1,93,3
3,RI,4,0,186,32
3,RI,4,1,315,19
3,RI,5,0,962,233
3,RI,5,1,2609,293
3,SC,1,0,32,3
3,SC,1,1,15,1
3,SC,2,0,10,2
3,SC,2,1,15,3
3,SC,3,0,371,70
3,SC,3,1,604,25
3,SC,4,0,1270,217
3,SC,4,1,1891,77
3,SC,5,0,4364,1020
3,SC,5,1,8801,629
3,SD,1,0,8,2
3,SD,1,1,3,1
3,SD,2,0,6,5
3,SD,2,1,2,0
3,SD,3,0,40,6
3,SD,3,1,59,9
3,SD,4,0,134,25
3,SD,4,1,232,16
3,SD,5,0,893,227
3,SD,5,1,1721,206
3,TN,1,0,46,4
3,TN,1,1,27,7
3,TN,2,0,34,9
3,TN,2,1,19,2
3,TN,3,0,673,138
3,TN,3,1,845,38
3,TN,4,0,2159,463
3,TN,4,1,2728,108
3,TN,5,0,7943,2077
3,TN,5,1,12334,1044
3,TX,1,0,229,27
3,TX,1,1,76,22
3,TX,2,0,90,22
3,TX,2,1,63,12
3,TX,3,0,1896,316
3,TX,3,1,2013,120
3,TX,4,0,5840,1052
3,TX,4,1,6974,333
3,TX,5,0,21075,5077
3,TX,5,1,35012,2476
3,UT,1,0,19,3
3,UT,1,1,6,1
3,UT,2,0,11,4
3,UT,2,1,9,2
3,UT,3,0,136,21
3,UT,3,1,171,20
3,UT,4,0,269,52
3,UT,4,1,489,41
3,UT,5,0,1322,323
3,UT,5,1,3503,379
3,VA,1,0,41,3
3,VA,1,1,20,4
3,VA,2,0,23,1
3,VA,2,1,17,3
3,VA,3,0,414,70
3,VA,3,1,582,29
3,VA,4,0,1566,291
3,VA,4,1,1910,66
3,VA,5,0,7221,1592
3,VA,5,1,11433,912
3,VT,1,0,0,0
3,VT,1,1,1,1
3,VT,2,0,1,0
3,VT,2,1,0,0
3,VT,3,0,23,6
3,VT,3,1,35,3
3,VT,4,0,108,32
3,VT,4,1,149,6
3,VT,5,0,578,147
3,VT,5,1,1381,157
3,WA,1,0,35,5
3,WA,1,1,16,6
3,WA,2,0,22,4
3,WA,2,1,11,1
3,WA,3,0,401,70
3,WA,3,1,434,43
3,WA,4,0,1277,246
3,WA,4,1,1706,108
3,WA,5,0,5140,1158
3,WA,5,1,11422,1162
3,WI,1,0,21,1
3,WI,1,1,9,3
3,WI,2,0,11,2
3,WI,2,1,7,2
3,WI,3,0,229,40
3,WI,3,1,382,31
3,WI,4,0,771,134
3,WI,4,1,1504,79
3,WI,5,0,4058,892
3,WI,5,1,11744,1217
3,WV,1,0,9,0
3,WV,1,1,3,0
3,WV,2,0,3,0
3,WV,2,1,12,4
3,WV,3,0,145,28
3,WV,3,1,268,21
3,WV,4,0,561,120
3,WV,4,1,799,39
3,WV,5,0,2651,692
3,WV,5,1,4337,386
3,WY,1,0,1,0
3,WY,1,1,3,2
3,WY,2,1,2,1
3,WY,3,0,12,2
3,WY,3,1,77,5
3,WY,4,0,64,14
3,WY,4,1,182,6
3,WY,5,0,381,90
3,WY,5,1,861,85
4,AK,1,0,4,1
4,AK,1,1,2,1
4,AK,2,0,0,0
4,AK,2,1,2,0
4,AK,3,0,40,8
4,AK,3,1,68,2
4,AK,4,0,97,21
4,AK,4,1,203,5
4,AK,5,0,311,69
4,AK,5,1,542,32
4,AL,1,0,42,4
4,AL,1,1,7,0
4,AL,2,0,19,3
4,AL,2,1,21,4
4,AL,3,0,525,130
4,AL,3,1,708,24
4,AL,4,0,1606,339
4,AL,4,1,1998,46
4,AL,5,0,5306,1163
4,AL,5,1,8663,345
4,AR,1,0,19,3
4,AR,1,1,16,7
4,AR,2,0,13,2
4,AR,2,1,12,0
4,AR,3,0,240,45
4,AR,3,1,506,44
4,AR,4,0,874,186
4,AR,4,1,1383,74
4,AR,5,0,3195,778
4,AR,5,1,6059,349
4,AZ,1,0,37,3
4,AZ,1,1,23,2
4,AZ,2,0,19,2
4,AZ,2,1,19,0
4,AZ,3,0,412,115
4,AZ,3,1,513,51
4,AZ,4,0,1076,236
4,AZ,4,1,1828,98
4,AZ,5,0,3822,862
4,AZ,5,1,11531,783
4,CA,1,0,207,25
4,CA,1,1,82,18
4,CA,2,0,113,22
4,CA,2,1,98,13
4,CA,3,0,2556,574
4,CA,3,1,3022,208
4,CA,4,0,7363,1552
4,CA,4,1,9759,466
4,CA,5,0,28215,7187
4,CA,5,1,58659,3678
4,CO,1,0,34,6
4,CO,1,1,10,2
4,CO,2,0,18,4
4,CO,2,1,6,2
4,CO,3,0,253,62
4,CO,3,1,428,44
4,CO,4,0,682,125
4,CO,4,1,1316,80
4,CO,5,0,2382,509
4,CO,5,1,7771,689
4,CT,1,0,10,0
4,CT,1,1,5,0
4,CT,2,0,7,1
4,CT,2,1,7,0
4,CT,3,0,176,26
4,CT,3,1,235,8
4,CT,4,0,715,112
4,CT,4,1,872,18
4,CT,5,0,4005,771
4,CT,5,1,6821,477
4,DC,1,0,22,3
4,DC,1,1,4,0
4,DC,2,0,5,1
4,DC,2,1,1,0
4,DC,3,0,80,10
4,DC,3,1,63,1
4,DC,4,0,255,35
4,DC,4,1,181,6
4,DC,5,0,658,95
4,DC,5,1,724,25
4,DE,1,0,11,3
4,DE,1,1,4,0
4,DE,2,0,6,0
4,DE,2,1,1,0
4,DE,3,0,49,5
4,DE,3,1,83,7
4,DE,4,0,160,24
4,DE,4,1,304,18
4,DE,5,0,611,150
4,DE,5,1,1755,119
4,FL,1,0,127,19
4,FL,1,1,53,16
4,FL,2,0,53,6
4,FL,2,1,29,1
4,FL,3,0,1336,272
4,FL,3,1,1529,103
4,FL,4,0,4355,774
4,FL,4,1,6068,245
4,FL,5,0,18120,3017
4,FL,5,1,38333,2022
4,GA,1,0,87,6
4,GA,1,1,40,8
4,GA,2,0,28,5
4,GA,2,1,26,0
4,GA,3,0,825,153
4,GA,3,1,1125,66
4,GA,4,0,2411,446
4,GA,4,1,3868,143
4,GA,5,0,6867,1369
4,GA,5,1,14873,787
4,HI,1,0,11,1
4,HI,1,1,7,0
4,HI,2,0,3,2
4,HI,2,1,6,1
4,HI,3,0,87,9
4,HI,3,1,105,8
4,HI,4,0,305,54
4,HI,4,1,371,25
4,HI,5,0,1209,309
4,HI,5,1,2119,264
4,IA,1,0,7,1
4,IA,1,1,12,3
4,IA,2,0,9,1
4,IA,2,1,6,0
4,IA,3,0,135,28
4,IA,3,1,250,29
4,IA,4,0,484,86
4,IA,4,1,963,46
4,IA,5,0,2655,569
4,IA,5,1,6893,611
4,ID,1,0,3,2
4,ID,1,1,7,1
4,ID,2,0,0,0
4,ID,2,1,1,0
4,ID,3,0,81,16
4,ID,3,1,136,6
4,ID,4,0,229,52
4,ID,4,1,425,23
4,ID,5,0,977,235
4,ID,5,1,2764,178
4,IL,1,0,55,5
4,IL,1,1,18,6
4,IL,2,0,22,3
4,IL,2,1,30,3
4,IL,3,0,626,104
4,IL,3,1,967,60
4,IL,4,0,2245,446
4,IL,4,1,3492,106
4,IL,5,0,10209,2326
4,IL,5,1,20065,1436
4,IN,1,0,37,5
4,IN,1,1,15,4
4,IN,2,0,25,2
4,IN,2,1,22,4
4,IN,3,0,569,125
4,IN,3,1,665,47
4,IN,4,0,1780,322
4,IN,4,1,2268,112
4,IN,5,0,6745,1439
4,IN,5,1,12453,893
4,KS,1,0,12,2
4,KS,1,1,10,1
4,KS,2,0,5,1
4,KS,2,1,17,6
4,KS,3,0,145,32
4,KS,3,1,251,16
4,KS,4,0,530,129
4,KS,4,1,842,39
4,KS,5,0,2359,589
4,KS,5,1,5310,435
4,KY,1,0,22,2
4,KY,1,1,18,3
4,KY,2,0,9,1
4,KY,2,1,9,0
4,KY,3,0,389,91
4,KY,3,1,547,39
4,KY,4,0,1319,317
4,KY,4,1,1862,65
4,KY,5,0,4900,1169
4,KY,5,1,7762,564
4,LA,1,0,39,11
4,LA,1,1,24,9
4,LA,2,0,8,4
4,LA,2,1,9,2
4,LA,3,0,448,88
4,LA,3,1,636,47
4,LA,4,0,1361,255
4,LA,4,1,2008,71
4,LA,5,0,4356,982
4,LA,5,1,7216,247
4,MA,1,0,23,3
4,MA,1,1,8,2
4,MA,2,0,15,4
4,MA,2,1,10,1
4,MA,3,0,343,84
4,MA,3,1,395,18
4,MA,4,0,1193,271
4,MA,4,1,1397,54
4,MA,5,0,6097,1491
4,MA,5,1,11789,1038
4,MD,1,0,28,2
4,MD,1,1,14,3
4,MD,2,0,6,2
4,MD,2,1,9,3
4,MD,3,0,273,68
4,MD,3,1,483,21
4,MD,4,0,979,254
4,MD,4,1,1648,56
4,MD,5,0,4123,1034
4,MD,5,1,9259,574
4,ME,1,0,3,1
4,ME,1,1,4,0
4,ME,2,0,1,0
4,ME,2,1,4,0
4,ME,3,0,63,11
4,ME,3,1,94,2
4,ME,4,0,227,55
4,ME,4,1,398,21
4,ME,5,0,1275,273
4,ME,5,1,2605,223
4,MI,1,0,56,9
4,MI,1,1,33,10
4,MI,2,0,16,3
4,MI,2,1,27,4
4,MI,3,0,549,127
4,MI,3,1,879,67
4,MI,4,0,2124,423
4,MI,4,1,3406,113
4,MI,5,0,9649,2073
4,MI,5,1,19206,1107
4,MN,1,0,41,2
4,MN,1,1,18,7
4,MN,2,0,17,2
4,MN,2,1,10,0
4,MN,3,0,208,40
4,MN,3,1,358,23
4,MN,4,0,745,125
4,MN,4,1,1154,63
4,MN,5,0,3407,615
4,MN,5,1,9297,723
4,MO,1,0,55,6
4,MO,1,1,20,4
4,MO,2,0,18,7
4,MO,2,1,13,4
4,MO,3,0,414,71
4,MO,3,1,607,43
4,MO,4,0,1466,303
4,MO,4,1,2396,86
4,MO,5,0,5702,1264
4,MO,5,1,12078,848
4,MS,1,0,36,2
4,MS,1,1,24,2
4,MS,2,0,8,1
4,MS,2,1,19,0
4,MS,3,0,361,79
4,MS,3,1,558,21
4,MS,4,0,1061,248
4,MS,4,1,1633,46
4,MS,5,0,3641,784
4,MS,5,1,5525,224
4,MT,1,0,2,0
4,MT,1,1,3,2
4,MT,2,0,2,1
4,MT,2,1,0,0
4,MT,3,0,47,5
4,MT,3,1,81,7
4,MT,4,0,209,38
4,MT,4,1,322,22
4,MT,5,0,842,180
4,MT,5,1,1971,158
4,NC,1,0,65,7
4,NC,1,1,31,6
4,NC,2,0,32,3
4,NC,2,1,25,3
4,NC,3,0,755,157
4,NC,3,1,932,70
4,NC,4,0,2228,457
4,NC,4,1,3246,133
4,NC,5,0,8346,2125
4,NC,5,1,16731,1450
4,ND,1,0,5,1
4,ND,1,1,0,0
4,ND,2,0,2,0
4,ND,2,1,1,0
4,ND,3,0,51,12
4,ND,3,1,70,6
4,ND,4,0,197,44
4,ND,4,1,185,10
4,ND,5,0,965,221
4,ND,5,1,1352,109
4,NE,1,0,14,1
4,NE,1,1,6,0
4,NE,2,0,4,0
4,NE,2,1,7,0
4,NE,3,0,100,15
4,NE,3,1,141,10
4,NE,4,0,370,76
4,NE,4,1,497,26
4,NE,5,0,1722,367
4,NE,5,1,3929,312
4,NH,1,0,3,0
4,NH,1,1,6,1
4,NH,2,0,1,0
4,NH,2,1,3,0
4,NH,3,0,49,4
4,NH,3,1,74,7
4,NH,4,0,200,48
4,NH,4,1,332,10
4,NH,5,0,1025,192
4,NH,5,1,2477,187
4,NJ,1,0,24,5
4,NJ,1,1,16,5
4,NJ,2,0,6,1
4,NJ,2,1,20,2
4,NJ,3,0,499,81
4,NJ,3,1,627,41
4,NJ,4,0,1663,269
4,NJ,4,1,2195,75
4,NJ,5,0,8517,1517
4,NJ,5,1,15667,753
4,NM,1,0,8,4
4,NM,1,1,3,0
4,NM,2,0,4,2
4,NM,2,1,4,1
4,NM,3,0,140,39
4,NM,3,1,178,22
4,NM,4,0,357,92
4,NM,4,1,648,53
4,NM,5,0,1259,331
4,NM,5,1,3499,282
4,NV,1,0,18,3
4,NV,1,1,5,2
4,NV,2,0,7,1
4,NV,2,1,3,0
4,NV,3,0,277,66
4,NV,3,1,283,20
4,NV,4,0,814,167
4,NV,4,1,981,39
4,NV,5,0,2288,571
4,NV,5,1,3897,161
4,NY,1,0,102,13
4,NY,1,1,51,12
4,NY,2,0,55,11
4,NY,2,1,37,8
4,NY,3,0,1290,246
4,NY,3,1,1497,72
4,NY,4,0,4384,808
4,NY,4,1,4986,190
4,NY,5,0,21887,4813
4,NY,5,1,32250,1768
4,OH,1,0,66,6
4,OH,1,1,36,3
4,OH,2,0,25,4
4,OH,2,1,22,0
4,OH,3,0,761,139
4,OH,3,1,1185,72
4,OH,4,0,2639,506
4,OH,4,1,4597,210
4,OH,5,0,10164,2050
4,OH,5,1,25876,1994
4,OK,1,0,21,6
4,OK,1,1,16,2
4,OK,2,0,12,1
4,OK,2,1,9,2
4,OK,3,0,343,85
4,OK,3,1,427,39
4,OK,4,0,1222,274
4,OK,4,1,1689,69
4,OK,5,0,4325,1013
4,OK,5,1,7526,387
4,OR,1,0,12,1
4,OR,1,1,2,2
4,OR,2,0,6,3
4,OR,2,1,7,1
4,OR,3,0,169,28
4,OR,3,1,239,12
4,OR,4,0,656,126
4,OR,4,1,1085,48
4,OR,5,0,2719,552
4,OR,5,1,7679,514
4,PA,1,0,85,7
4,PA,1,1,33,10
4,PA,2,0,27,3
4,PA,2,1,24,3
4,PA,3,0,782,139
4,PA,3,1,1037,61
4,PA,4,0,2840,502
4,PA,4,1,4039,172
4,PA,5,0,12953,2489
4,PA,5,1,28273,1837
4,RI,1,0,5,1
4,RI,1,1,4,1
4,RI,2,0,2,0
4,RI,2,1,1,0
4,RI,3,0,65,7
4,RI,3,1,77,6
4,RI,4,0,173,43
4,RI,4,1,338,19
4,RI,5,0,988,255
4,RI,5,1,2489,239
4,SC,1,0,29,2
4,SC,1,1,16,4
4,SC,2,0,8,2
4,SC,2,1,15,0
4,SC,3,0,423,76
4,SC,3,1,628,44
4,SC,4,0,1270,250
4,SC,4,1,1990,98
4,SC,5,0,4239,917
4,SC,5,1,8765,621
4,SD,1,0,2,1
4,SD,1,1,4,3
4,SD,2,0,4,3
4,SD,2,1,2,2
4,SD,3,0,42,7
4,SD,3,1,72,8
4,SD,4,0,167,32
4,SD,4,1,228,11
4,SD,5,0,836,184
4,SD,5,1,1617,192
4,TN,1,0,49,6
4,TN,1,1,18,4
4,TN,2,0,34,7
4,TN,2,1,22,6
4,TN,3,0,717,199
4,TN,3,1,849,63
4,TN,4,0,2152,503
4,TN,4,1,2879,107
4,TN,5,0,7336,1845
4,TN,5,1,12321,913
4,TX,1,0,226,33
4,TX,1,1,75,22
4,TX,2,0,81,22
4,TX,2,1,60,3
4,TX,3,0,2155,539
4,TX,3,1,2212,172
4,TX,4,0,6423,1378
4,TX,4,1,7661,421
4,TX,5,0,20672,4807
4,TX,5,1,35733,2192
4,UT,1,0,29,4
4,UT,1,1,2,1
4,UT,2,0,9,0
4,UT,2,1,13,3
4,UT,3,0,142,31
4,UT,3,1,196,19
4,UT,4,0,347,55
4,UT,4,1,544,48
4,UT,5,0,1264,302
4,UT,5,1,3577,324
4,VA,1,0,39,5
4,VA,1,1,16,4
4,VA,2,0,18,5
4,VA,2,1,9,1
4,VA,3,0,442,95
4,VA,3,1,592,29
4,VA,4,0,1611,287
4,VA,4,1,2017,58
4,VA,5,0,6672,1361
4,VA,5,1,11086,706
4,VT,1,0,0,0
4,VT,1,1,4,0
4,VT,2,0,1,0
4,VT,2,1,0,0
4,VT,3,0,29,9
4,VT,3,1,50,4
4,VT,4,0,99,17
4,VT,4,1,175,6
4,VT,5,0,555,144
4,VT,5,1,1356,154
4,WA,1,0,33,1
4,WA,1,1,15,6
4,WA,2,0,12,1
4,WA,2,1,8,1
4,WA,3,0,394,90
4,WA,3,1,399,33
4,WA,4,0,1312,240
4,WA,4,1,1830,89
4,WA,5,0,5081,1042
4,WA,5,1,11166,901
4,WI,1,0,26,4
4,WI,1,1,12,3
4,WI,2,0,10,1
4,WI,2,1,7,0
4,WI,3,0,252,63
4,WI,3,1,417,34
4,WI,4,0,829,170
4,WI,4,1,1471,62
4,WI,5,0,4301,865
4,WI,5,1,10962,906
4,WV,1,0,9,1
4,WV,1,1,1,0
4,WV,2,0,5,1
4,WV,2,1,7,1
4,WV,3,0,142,35
4,WV,3,1,287,19
4,WV,4,0,640,161
4,WV,4,1,872,41
4,WV,5,0,2352,562
4,WV,5,1,4213,333
4,WY,1,0,0,0
4,WY,1,1,3,0
4,WY,2,1,0,0
4,WY,3,0,16,4
4,WY,3,1,72,6
4,WY,4,0,74,15
4,WY,4,1,175,8
4,WY,5,0,359,84
4,WY,5,1,862,71
5,AK,1,0,2,0
5,AK,1,1,8,2
5,AK,2,0,4,3
5,AK,2,1,0,0
5,AK,3,0,51,8
5,AK,3,1,85,4
5,AK,4,0,108,14
5,AK,4,1,193,3
5,AK,5,0,353,91
5,AK,5,1,534,33
5,AL,1,0,50,3
5,AL,1,1,18,3
5,AL,2,0,13,5
5,AL,2,1,17,1
5,AL,3,0,454,72
5,AL,3,1,727,21
5,AL,4,0,1520,276
5,AL,4,1,2093,52
5,AL,5,0,5801,1371
5,AL,5,1,9205,391
5,AR,1,0,23,6
5,AR,1,1,8,3
5,AR,2,0,13,3
5,AR,2,1,7,1
5,AR,3,0,247,39
5,AR,3,1,466,32
5,AR,4,0,791,158
5,AR,4,1,1542,49
5,AR,5,0,3201,773
5,AR,5,1,6718,421
5,AZ,1,0,39,6
5,AZ,1,1,25,7
5,AZ,2,0,11,2
5,AZ,2,1,20,3
