season,stateoc,agecat,osh,rcu,pi
1,MD,4,1,1534,55
1,MD,5,0,4413,1222
1,MD,5,1,9109,779
1,ME,1,0,2,0
1,ME,1,1,2,0
1,ME,2,0,7,3
1,ME,2,1,0,0
1,ME,3,0,56,10
1,ME,3,1,102,7
1,ME,4,0,277,52
1,ME,4,1,349,5
1,ME,5,0,1448,322
1,ME,5,1,2521,263
1,MI,1,0,56,11
1,MI,1,1,22,9
1,MI,2,0,24,5
1,MI,2,1,26,8
1,MI,3,0,616,118
1,MI,3,1,953,65
1,MI,4,0,2286,448
1,MI,4,1,3081,101
1,MI,5,0,9821,2068
1,MI,5,1,18084,1173
1,MN,1,0,40,6
1,MN,1,1,18,6
1,MN,2,0,17,4
1,MN,2,1,9,2
1,MN,3,0,226,48
1,MN,3,1,339,37
1,MN,4,0,696,117
1,MN,4,1,1027,61
1,MN,5,0,3836,788
1,MN,5,1,8957,925
1,MO,1,0,50,6
1,MO,1,1,25,6
1,MO,2,0,24,2
1,MO,2,1,11,1
1,MO,3,0,418,78
1,MO,3,1,616,47
1,MO,4,0,1464,282
1,MO,4,1,2009,57
1,MO,5,0,6385,1521
1,MO,5,1,11755,929
1,MS,1,0,19,1
1,MS,1,1,26,5
1,MS,2,0,12,3
1,MS,2,1,20,1
1,MS,3,0,331,63
1,MS,3,1,593,15
1,MS,4,0,971,158
1,MS,4,1,1443,29
1,MS,5,0,3954,858
1,MS,5,1,5243,193
1,MT,1,0,2,0
1,MT,1,1,1,0
1,MT,2,0,0,0
1,MT,2,1,3,0
1,MT,3,0,39,13
1,MT,3,1,88,7
1,MT,4,0,143,22
1,MT,4,1,323,12
1,MT,5,0,841,187
1,MT,5,1,1889,174
1,NC,1,0,60,7
1,NC,1,1,27,6
1,NC,2,0,22,8
1,NC,2,1,24,4
1,NC,3,0,716,141
1,NC,3,1,900,53
1,NC,4,0,2275,454
1,NC,4,1,2814,133
1,NC,5,0,9109,2083
1,NC,5,1,15443,1445
1,ND,1,0,5,1
1,ND,1,1,2,1
1,ND,2,0,3,0
1,ND,2,1,0,0
1,ND,3,0,41,9
1,ND,3,1,39,3
1,ND,4,0,167,32
1,ND,4,1,173,8
1,ND,5,0,958,169
1,ND,5,1,1371,122
1,NE,1,0,14,1
1,NE,1,1,11,2
1,NE,2,0,4,1
1,NE,2,1,6,0
1,NE,3,0,107,23
1,NE,3,1,148,10
1,NE,4,0,351,66
