mmwrstrt	mmwrend	studywk	week	wyear	season	dvdweek	month	yearmonth
6/10/2012	6/16/2012	2111	24	2012	2011\2012	201224	6	201206
6/17/2012	6/23/2012	2112	25	2012	2011\2012	201225	6	201206
6/24/2012	6/30/2012	2113	26	2012	2011\2012	201226	6	201206
7/1/2012	7/7/2012	2114	27	2012	2012\2013	201227	7	201207
7/8/2012	7/14/2012	2115	28	2012	2012\2013	201228	7	201207
7/15/2012	7/21/2012	2116	29	2012	2012\2013	201229	7	201207
7/22/2012	7/28/2012	2117	30	2012	2012\2013	201230	7	201207
7/29/2012	8/4/2012	2118	31	2012	2012\2013	201231	8	201208
8/5/2012	8/11/2012	2119	32	2012	2012\2013	201232	8	201208
8/12/2012	8/18/2012	2120	33	2012	2012\2013	201233	8	201208
8/19/2012	8/25/2012	2121	34	2012	2012\2013	201234	8	201208
8/26/2012	9/1/2012	2122	35	2012	2012\2013	201235	8	201208
9/2/2012	9/8/2012	2123	36	2012	2012\2013	201236	9	201209
9/9/2012	9/15/2012	2124	37	2012	2012\2013	201237	9	201209
9/16/2012	9/22/2012	2125	38	2012	2012\2013	201238	9	201209
9/23/2012	9/29/2012	2126	39	2012	2012\2013	201239	9	201209
9/30/2012	10/6/2012	2127	40	2012	2012\2013	201240	10	201210
10/7/2012	10/13/2012	2128	41	2012	2012\2013	201241	10	201210
10/14/2012	10/20/2012	2129	42	2012	2012\2013	201242	10	201210
10/21/2012	10/27/2012	2130	43	2012	2012\2013	201243	10	201210
10/28/2012	11/3/2012	2131	44	2012	2012\2013	201244	10	201210
11/4/2012	11/10/2012	2132	45	2012	2012\2013	201245	11	201211
11/11/2012	11/17/2012	2133	46	2012	2012\2013	201246	11	201211
11/18/2012	11/24/2012	2134	47	2012	2012\2013	201247	11	201211
11/25/2012	12/1/2012	2135	48	2012	2012\2013	201248	11	201211
12/2/2012	12/8/2012	2136	49	2012	2012\2013	201249	12	201212
12/9/2012	12/15/2012	2137	50	2012	2012\2013	201250	12	201212
12/16/2012	12/22/2012	2138	51	2012	2012\2013	201251	12	201212
12/23/2012	12/29/2012	2139	52	2012	2012\2013	201252	12	201212
12/30/2012	1/5/2013	2140	1	2013	2012\2013	201301	1	201301
1/6/2013	1/12/2013	2141	2	2013	2012\2013	201302	1	201301
1/13/2013	1/19/2013	2142	3	2013	2012\2013	201303	1	201301
1/20/2013	1/26/2013	2143	4	2013	2012\2013	201304	1	201301
1/27/2013	2/2/2013	2144	5	2013	2012\2013	201305	1	201301
2/3/2013	2/9/2013	2145	6	2013	2012\2013	201306	2	201302
2/10/2013	2/16/2013	2146	7	2013	2012\2013	201307	2	201302
2/17/2013	2/23/2013	2147	8	2013	2012\2013	201308	2	201302
2/24/2013	3/2/2013	2148	9	2013	2012\2013	201309	2	201302
3/3/2013	3/9/2013	2149	10	2013	2012\2013	201310	3	201303
3/10/2013	3/16/2013	2150	11	2013	2012\2013	201311	3	201303
3/17/2013	3/23/2013	2151	12	2013	2012\2013	201312	3	201303
3/24/2013	3/30/2013	2152	13	2013	2012\2013	201313	3	201303
3/31/2013	4/6/2013	2153	14	2013	2012\2013	201314	4	201304
4/7/2013	4/13/2013	2154	15	2013	2012\2013	201315	4	201304
4/14/2013	4/20/2013	2155	16	2013	2012\2013	201316	4	201304
4/21/2013	4/27/2013	2156	17	2013	2012\2013	201317	4	201304
4/28/2013	5/4/2013	2157	18	2013	2012\2013	201318	5	201305
5/5/2013	5/11/2013	2158	19	2013	2012\2013	201319	5	201305
5/12/2013	5/18/2013	2159	20	2013	2012\2013	201320	5	201305
5/19/2013	5/25/2013	2160	21	2013	2012\2013	201321	5	201305
5/26/2013	6/1/2013	2161	22	2013	2012\2013	201322	5	201305
6/2/2013	6/8/2013	2162	23	2013	2012\2013	201323	6	201306
6/9/2013	6/15/2013	2163	24	2013	2012\2013	201324	6	201306
6/16/2013	6/22/2013	2164	25	2013	2012\2013	201325	6	201306
6/23/2013	6/29/2013	2165	26	2013	2012\2013	201326	6	201306
6/30/2013	7/6/2013	2166	27	2013	2013\2014	201327	7	201307
7/7/2013	7/13/2013	2167	28	2013	2013\2014	201328	7	201307
7/14/2013	7/20/2013	2168	29	2013	2013\2014	201329	7	201307
7/21/2013	7/27/2013	2169	30	2013	2013\2014	201330	7	201307
7/28/2013	8/3/2013	2170	31	2013	2013\2014	201331	7	201307
8/4/2013	8/10/2013	2171	32	2013	2013\2014	201332	8	201308
8/11/2013	8/17/2013	2172	33	2013	2013\2014	201333	8	201308
8/18/2013	8/24/2013	2173	34	2013	2013\2014	201334	8	201308
8/25/2013	8/31/2013	2174	35	2013	2013\2014	201335	8	201308
9/1/2013	9/7/2013	2175	36	2013	2013\2014	201336	9	201309
9/8/2013	9/14/2013	2176	37	2013	2013\2014	201337	9	201309
9/15/2013	9/21/2013	2177	38	2013	2013\2014	201338	9	201309
9/22/2013	9/28/2013	2178	39	2013	2013\2014	201339	9	201309
9/29/2013	10/5/2013	2179	40	2013	2013\2014	201340	10	201310
10/6/2013	10/12/2013	2180	41	2013	2013\2014	201341	10	201310
10/13/2013	10/19/2013	2181	42	2013	2013\2014	201342	10	201310
10/20/2013	10/26/2013	2182	43	2013	2013\2014	201343	10	201310
10/27/2013	11/2/2013	2183	44	2013	2013\2014	201344	10	201310
11/3/2013	11/9/2013	2184	45	2013	2013\2014	201345	11	201311
11/10/2013	11/16/2013	2185	46	2013	2013\2014	201346	11	201311
11/17/2013	11/23/2013	2186	47	2013	2013\2014	201347	11	201311
11/24/2013	11/30/2013	2187	48	2013	2013\2014	201348	11	201311
12/1/2013	12/7/2013	2188	49	2013	2013\2014	201349	12	201312
12/8/2013	12/14/2013	2189	50	2013	2013\2014	201350	12	201312
12/15/2013	12/21/2013	2190	51	2013	2013\2014	201351	12	201312
12/22/2013	12/28/2013	2191	52	2013	2013\2014	201352	12	201312
12/29/2013	1/4/2014	2192	1	2014	2013\2014	201401	1	201401
1/5/2014	1/11/2014	2193	2	2014	2013\2014	201402	1	201401
1/12/2014	1/18/2014	2194	3	2014	2013\2014	201403	1	201401
1/19/2014	1/25/2014	2195	4	2014	2013\2014	201404	1	201401
1/26/2014	2/1/2014	2196	5	2014	2013\2014	201405	1	201401
2/2/2014	2/8/2014	2197	6	2014	2013\2014	201406	2	201402
2/9/2014	2/15/2014	2198	7	2014	2013\2014	201407	2	201402
2/16/2014	2/22/2014	2199	8	2014	2013\2014	201408	2	201402
2/23/2014	3/1/2014	2200	9	2014	2013\2014	201409	2	201402
3/2/2014	3/8/2014	2201	10	2014	2013\2014	201410	3	201403
3/9/2014	3/15/2014	2202	11	2014	2013\2014	201411	3	201403
3/16/2014	3/22/2014	2203	12	2014	2013\2014	201412	3	201403
3/23/2014	3/29/2014	2204	13	2014	2013\2014	201413	3	201403
3/30/2014	4/5/2014	2205	14	2014	2013\2014	201414	4	201404
4/6/2014	4/12/2014	2206	15	2014	2013\2014	201415	4	201404
4/13/2014	4/19/2014	2207	16	2014	2013\2014	201416	4	201404
4/20/2014	4/26/2014	2208	17	2014	2013\2014	201417	4	201404
4/27/2014	5/3/2014	2209	18	2014	2013\2014	201418	4	201404
5/4/2014	5/10/2014	2210	19	2014	2013\2014	201419	5	201405
5/11/2014	5/17/2014	2211	20	2014	2013\2014	201420	5	201405
5/18/2014	5/24/2014	2212	21	2014	2013\2014	201421	5	201405
5/25/2014	5/31/2014	2213	22	2014	2013\2014	201422	5	201405
6/1/2014	6/7/2014	2214	23	2014	2013\2014	201423	6	201406
6/8/2014	6/14/2014	2215	24	2014	2013\2014	201424	6	201406
6/15/2014	6/21/2014	2216	25	2014	2013\2014	201425	6	201406
6/22/2014	6/28/2014	2217	26	2014	2013\2014	201426	6	201406
6/29/2014	7/5/2014	2218	27	2014	2014\2015	201427	7	201407
7/6/2014	7/12/2014	2219	28	2014	2014\2015	201428	7	201407
7/13/2014	7/19/2014	2220	29	2014	2014\2015	201429	7	201407
7/20/2014	7/26/2014	2221	30	2014	2014\2015	201430	7	201407
7/27/2014	8/2/2014	2222	31	2014	2014\2015	201431	7	201407
8/3/2014	8/9/2014	2223	32	2014	2014\2015	201432	8	201408
8/10/2014	8/16/2014	2224	33	2014	2014\2015	201433	8	201408
8/17/2014	8/23/2014	2225	34	2014	2014\2015	201434	8	201408
8/24/2014	8/30/2014	2226	35	2014	2014\2015	201435	8	201408
8/31/2014	9/6/2014	2227	36	2014	2014\2015	201436	9	201409
9/7/2014	9/13/2014	2228	37	2014	2014\2015	201437	9	201409
9/14/2014	9/20/2014	2229	38	2014	2014\2015	201438	9	201409
9/21/2014	9/27/2014	2230	39	2014	2014\2015	201439	9	201409
9/28/2014	10/4/2014	2231	40	2014	2014\2015	201440	10	201410
10/5/2014	10/11/2014	2232	41	2014	2014\2015	201441	10	201410
10/12/2014	10/18/2014	2233	42	2014	2014\2015	201442	10	201410
10/19/2014	10/25/2014	2234	43	2014	2014\2015	201443	10	201410
10/26/2014	11/1/2014	2235	44	2014	2014\2015	201444	10	201410
11/2/2014	11/8/2014	2236	45	2014	2014\2015	201445	11	201411
11/9/2014	11/15/2014	2237	46	2014	2014\2015	201446	11	201411
11/16/2014	11/22/2014	2238	47	2014	2014\2015	201447	11	201411
11/23/2014	11/29/2014	2239	48	2014	2014\2015	201448	11	201411
11/30/2014	12/6/2014	2240	49	2014	2014\2015	201449	12	201412
12/7/2014	12/13/2014	2241	50	2014	2014\2015	201450	12	201412
12/14/2014	12/20/2014	2242	51	2014	2014\2015	201451	12	201412
12/21/2014	12/27/2014	2243	52	2014	2014\2015	201452	12	201412
12/28/2014	1/3/2015	2244	53	2014	2014\2015	201453	12	201412
1/4/2015	1/10/2015	2245	1	2015	2014\2015	201501	1	201501
1/11/2015	1/17/2015	2246	2	2015	2014\2015	201502	1	201501
1/18/2015	1/24/2015	2247	3	2015	2014\2015	201503	1	201501
1/25/2015	1/31/2015	2248	4	2015	2014\2015	201504	1	201501
2/1/2015	2/7/2015	2249	5	2015	2014\2015	201505	2	201502
2/8/2015	2/14/2015	2250	6	2015	2014\2015	201506	2	201502
2/15/2015	2/21/2015	2251	7	2015	2014\2015	201507	2	201502
2/22/2015	2/28/2015	2252	8	2015	2014\2015	201508	2	201502
3/1/2015	3/7/2015	2253	9	2015	2014\2015	201509	3	201503
3/8/2015	3/14/2015	2254	10	2015	2014\2015	201510	3	201503
3/15/2015	3/21/2015	2255	11	2015	2014\2015	201511	3	201503
3/22/2015	3/28/2015	2256	12	2015	2014\2015	201512	3	201503
3/29/2015	4/4/2015	2257	13	2015	2014\2015	201513	4	201504
4/5/2015	4/11/2015	2258	14	2015	2014\2015	201514	4	201504
4/12/2015	4/18/2015	2259	15	2015	2014\2015	201515	4	201504
4/19/2015	4/25/2015	2260	16	2015	2014\2015	201516	4	201504
4/26/2015	5/2/2015	2261	17	2015	2014\2015	201517	4	201504
5/3/2015	5/9/2015	2262	18	2015	2014\2015	201518	5	201505
5/10/2015	5/16/2015	2263	19	2015	2014\2015	201519	5	201505
5/17/2015	5/23/2015	2264	20	2015	2014\2015	201520	5	201505
5/24/2015	5/30/2015	2265	21	2015	2014\2015	201521	5	201505
5/31/2015	6/6/2015	2266	22	2015	2014\2015	201522	6	201506
6/7/2015	6/13/2015	2267	23	2015	2014\2015	201523	6	201506
6/14/2015	6/20/2015	2268	24	2015	2014\2015	201524	6	201506
6/21/2015	6/27/2015	2269	25	2015	2014\2015	201525	6	201506
6/28/2015	7/4/2015	2270	26	2015	2015\2016	201526	7	201507
7/5/2015	7/11/2015	2271	27	2015	2015\2016	201527	7	201507
7/12/2015	7/18/2015	2272	28	2015	2015\2016	201528	7	201507
7/19/2015	7/25/2015	2273	29	2015	2015\2016	201529	7	201507
7/26/2015	8/1/2015	2274	30	2015	2015\2016	201530	7	201507
8/2/2015	8/8/2015	2275	31	2015	2015\2016	201531	8	201508
8/9/2015	8/15/2015	2276	32	2015	2015\2016	201532	8	201508
8/16/2015	8/22/2015	2277	33	2015	2015\2016	201533	8	201508
8/23/2015	8/29/2015	2278	34	2015	2015\2016	201534	8	201508
8/30/2015	9/5/2015	2279	35	2015	2015\2016	201535	9	201509
9/6/2015	9/12/2015	2280	36	2015	2015\2016	201536	9	201509
9/13/2015	9/19/2015	2281	37	2015	2015\2016	201537	9	201509
9/20/2015	9/26/2015	2282	38	2015	2015\2016	201538	9	201509
9/27/2015	10/3/2015	2283	39	2015	2015\2016	201539	9	201509
10/4/2015	10/10/2015	2284	40	2015	2015\2016	201540	10	201510
10/11/2015	10/17/2015	2285	41	2015	2015\2016	201541	10	201510
10/18/2015	10/24/2015	2286	42	2015	2015\2016	201542	10	201510
10/25/2015	10/31/2015	2287	43	2015	2015\2016	201543	10	201510
11/1/2015	11/7/2015	2288	44	2015	2015\2016	201544	11	201511
11/8/2015	11/14/2015	2289	45	2015	2015\2016	201545	11	201511
11/15/2015	11/21/2015	2290	46	2015	2015\2016	201546	11	201511
11/22/2015	11/28/2015	2291	47	2015	2015\2016	201547	11	201511
11/29/2015	12/5/2015	2292	48	2015	2015\2016	201548	12	201512
12/6/2015	12/12/2015	2293	49	2015	2015\2016	201549	12	201512
12/13/2015	12/19/2015	2294	50	2015	2015\2016	201550	12	201512
12/20/2015	12/26/2015	2295	51	2015	2015\2016	201551	12	201512
12/27/2015	1/2/2016	2296	52	2015	2015\2016	201552	12	201512
1/3/2016	1/9/2016	2297	1	2016	2015\2016	201601	1	201601
1/10/2016	1/16/2016	2298	2	2016	2015\2016	201602	1	201601
1/17/2016	1/23/2016	2299	3	2016	2015\2016	201603	1	201601
1/24/2016	1/30/2016	2300	4	2016	2015\2016	201604	1	201601
1/31/2016	2/6/2016	2301	5	2016	2015\2016	201605	2	201602
2/7/2016	2/13/2016	2302	6	2016	2015\2016	201606	2	201602
2/14/2016	2/20/2016	2303	7	2016	2015\2016	201607	2	201602
2/21/2016	2/27/2016	2304	8	2016	2015\2016	201608	2	201602
2/28/2016	3/5/2016	2305	9	2016	2015\2016	201609	3	201603
3/6/2016	3/12/2016	2306	10	2016	2015\2016	201610	3	201603
3/13/2016	3/19/2016	2307	11	2016	2015\2016	201611	3	201603
3/20/2016	3/26/2016	2308	12	2016	2015\2016	201612	3	201603
3/27/2016	4/2/2016	2309	13	2016	2015\2016	201613	3	201603
4/3/2016	4/9/2016	2310	14	2016	2015\2016	201614	4	201604
4/10/2016	4/16/2016	2311	15	2016	2015\2016	201615	4	201604
4/17/2016	4/23/2016	2312	16	2016	2015\2016	201616	4	201604
4/24/2016	4/30/2016	2313	17	2016	2015\2016	201617	4	201604
5/1/2016	5/7/2016	2314	18	2016	2015\2016	201618	5	201605
5/8/2016	5/14/2016	2315	19	2016	2015\2016	201619	5	201605
5/15/2016	5/21/2016	2316	20	2016	2015\2016	201620	5	201605
5/22/2016	5/28/2016	2317	21	2016	2015\2016	201621	5	201605
5/29/2016	6/4/2016	2318	22	2016	2015\2016	201622	6	201606
6/5/2016	6/11/2016	2319	23	2016	2015\2016	201623	6	201606
6/12/2016	6/18/2016	2320	24	2016	2015\2016	201624	6	201606
6/19/2016	6/25/2016	2321	25	2016	2015\2016	201625	6	201606
6/26/2016	7/2/2016	2322	26	2016	2015\2016	201626	6	201606
7/3/2016	7/9/2016	2323	27	2016	2016\2017	201627	7	201607
7/10/2016	7/16/2016	2324	28	2016	2016\2017	201628	7	201607
7/17/2016	7/23/2016	2325	29	2016	2016\2017	201629	7	201607
7/24/2016	7/30/2016	2326	30	2016	2016\2017	201630	7	201607
7/31/2016	8/6/2016	2327	31	2016	2016\2017	201631	8	201608
8/7/2016	8/13/2016	2328	32	2016	2016\2017	201632	8	201608
8/14/2016	8/20/2016	2329	33	2016	2016\2017	201633	8	201608
8/21/2016	8/27/2016	2330	34	2016	2016\2017	201634	8	201608
8/28/2016	9/3/2016	2331	35	2016	2016\2017	201635	8	201608
9/4/2016	9/10/2016	2332	36	2016	2016\2017	201636	9	201609
9/11/2016	9/17/2016	2333	37	2016	2016\2017	201637	9	201609
9/18/2016	9/24/2016	2334	38	2016	2016\2017	201638	9	201609
9/25/2016	10/1/2016	2335	39	2016	2016\2017	201639	9	201609
10/2/2016	10/8/2016	2336	40	2016	2016\2017	201640	10	201610
10/9/2016	10/15/2016	2337	41	2016	2016\2017	201641	10	201610
10/16/2016	10/22/2016	2338	42	2016	2016\2017	201642	10	201610
10/23/2016	10/29/2016	2339	43	2016	2016\2017	201643	10	201610
10/30/2016	11/5/2016	2340	44	2016	2016\2017	201644	11	201611
11/6/2016	11/12/2016	2341	45	2016	2016\2017	201645	11	201611
11/13/2016	11/19/2016	2342	46	2016	2016\2017	201646	11	201611
11/20/2016	11/26/2016	2343	47	2016	2016\2017	201647	11	201611
11/27/2016	12/3/2016	2344	48	2016	2016\2017	201648	11	201611
12/4/2016	12/10/2016	2345	49	2016	2016\2017	201649	12	201612
12/11/2016	12/17/2016	2346	50	2016	2016\2017	201650	12	201612
12/18/2016	12/24/2016	2347	51	2016	2016\2017	201651	12	201612
12/25/2016	12/31/2016	2348	52	2016	2016\2017	201652	12	201612
1/1/2017	1/7/2017	2349	1	2017	2016\2017	201701	1	201701
1/8/2017	1/14/2017	2350	2	2017	2016\2017	201702	1	201701
1/15/2017	1/21/2017	2351	3	2017	2016\2017	201703	1	201701
1/22/2017	1/28/2017	2352	4	2017	2016\2017	201704	1	201701
1/29/2017	2/4/2017	2353	5	2017	2016\2017	201705	2	201702
2/5/2017	2/11/2017	2354	6	2017	2016\2017	201706	2	201702
2/12/2017	2/18/2017	2355	7	2017	2016\2017	201707	2	201702
2/19/2017	2/25/2017	2356	8	2017	2016\2017	201708	2	201702
2/26/2017	3/4/2017	2357	9	2017	2016\2017	201709	3	201703
3/5/2017	3/11/2017	2358	10	2017	2016\2017	201710	3	201703
3/12/2017	3/18/2017	2359	11	2017	2016\2017	201711	3	201703
3/19/2017	3/25/2017	2360	12	2017	2016\2017	201712	3	201703
3/26/2017	4/1/2017	2361	13	2017	2016\2017	201713	3	201703
4/2/2017	4/8/2017	2362	14	2017	2016\2017	201714	4	201704
4/9/2017	4/15/2017	2363	15	2017	2016\2017	201715	4	201704
4/16/2017	4/22/2017	2364	16	2017	2016\2017	201716	4	201704
4/23/2017	4/29/2017	2365	17	2017	2016\2017	201717	4	201704
4/30/2017	5/6/2017	2366	18	2017	2016\2017	201718	5	201705
5/7/2017	5/13/2017	2367	19	2017	2016\2017	201719	5	201705
5/14/2017	5/20/2017	2368	20	2017	2016\2017	201720	5	201705
5/21/2017	5/27/2017	2369	21	2017	2016\2017	201721	5	201705
5/28/2017	6/3/2017	2370	22	2017	2016\2017	201722	5	201705
6/4/2017	6/10/2017	2371	23	2017	2016\2017	201723	6	201706
6/11/2017	6/17/2017	2372	24	2017	2016\2017	201724	6	201706
6/18/2017	6/24/2017	2373	25	2017	2016\2017	201725	6	201706
6/25/2017	7/1/2017	2374	26	2017	2016\2017	201726	6	201706
7/2/2017	7/8/2017	2375	27	2017	2017\2018	201727	7	201707
7/9/2017	7/15/2017	2376	28	2017	2017\2018	201728	7	201707
7/16/2017	7/22/2017	2377	29	2017	2017\2018	201729	7	201707
7/23/2017	7/29/2017	2378	30	2017	2017\2018	201730	7	201707
7/30/2017	8/5/2017	2379	31	2017	2017\2018	201731	8	201708
8/6/2017	8/12/2017	2380	32	2017	2017\2018	201732	8	201708
8/13/2017	8/19/2017	2381	33	2017	2017\2018	201733	8	201708
8/20/2017	8/26/2017	2382	34	2017	2017\2018	201734	8	201708
8/27/2017	9/2/2017	2383	35	2017	2017\2018	201735	8	201708
9/3/2017	9/9/2017	2384	36	2017	2017\2018	201736	9	201709
9/10/2017	9/16/2017	2385	37	2017	2017\2018	201737	9	201709
9/17/2017	9/23/2017	2386	38	2017	2017\2018	201738	9	201709
9/24/2017	9/30/2017	2387	39	2017	2017\2018	201739	9	201709
10/1/2017	10/7/2017	2388	40	2017	2017\2018	201740	10	201710
10/8/2017	10/14/2017	2389	41	2017	2017\2018	201741	10	201710
10/15/2017	10/21/2017	2390	42	2017	2017\2018	201742	10	201710
10/22/2017	10/28/2017	2391	43	2017	2017\2018	201743	10	201710
10/29/2017	11/4/2017	2392	44	2017	2017\2018	201744	11	201711
11/5/2017	11/11/2017	2393	45	2017	2017\2018	201745	11	201711
11/12/2017	11/18/2017	2394	46	2017	2017\2018	201746	11	201711
11/19/2017	11/25/2017	2395	47	2017	2017\2018	201747	11	201711
11/26/2017	12/2/2017	2396	48	2017	2017\2018	201748	11	201711
12/3/2017	12/9/2017	2397	49	2017	2017\2018	201749	12	201712
12/10/2017	12/16/2017	2398	50	2017	2017\2018	201750	12	201712
12/17/2017	12/23/2017	2399	51	2017	2017\2018	201751	12	201712
12/24/2017	12/30/2017	2400	52	2017	2017\2018	201752	12	201712
12/31/2017	1/6/2018	2401	1	2018	2017\2018	201801	1	201801
1/7/2018	1/13/2018	2402	2	2018	2017\2018	201802	1	201801
1/14/2018	1/20/2018	2403	3	2018	2017\2018	201803	1	201801
1/21/2018	1/27/2018	2404	4	2018	2017\2018	201804	1	201801
1/28/2018	2/3/2018	2405	5	2018	2017\2018	201805	1	201801
2/4/2018	2/10/2018	2406	6	2018	2017\2018	201806	2	201802
2/11/2018	2/17/2018	2407	7	2018	2017\2018	201807	2	201802
2/18/2018	2/24/2018	2408	8	2018	2017\2018	201808	2	201802
2/25/2018	3/3/2018	2409	9	2018	2017\2018	201809	2	201802
3/4/2018	3/10/2018	2410	10	2018	2017\2018	201810	3	201803
3/11/2018	3/17/2018	2411	11	2018	2017\2018	201811	3	201803
3/18/2018	3/24/2018	2412	12	2018	2017\2018	201812	3	201803
3/25/2018	3/31/2018	2413	13	2018	2017\2018	201813	3	201803
4/1/2018	4/7/2018	2414	14	2018	2017\2018	201814	4	201804
4/8/2018	4/14/2018	2415	15	2018	2017\2018	201815	4	201804
4/15/2018	4/21/2018	2416	16	2018	2017\2018	201816	4	201804
4/22/2018	4/28/2018	2417	17	2018	2017\2018	201817	4	201804
4/29/2018	5/5/2018	2418	18	2018	2017\2018	201818	5	201805
5/6/2018	5/12/2018	2419	19	2018	2017\2018	201819	5	201805
5/13/2018	5/19/2018	2420	20	2018	2017\2018	201820	5	201805
5/20/2018	5/26/2018	2421	21	2018	2017\2018	201821	5	201805
5/27/2018	6/2/2018	2422	22	2018	2017\2018	201822	5	201805
6/3/2018	6/9/2018	2423	23	2018	2017\2018	201823	6	201806
6/10/2018	6/16/2018	2424	24	2018	2017\2018	201824	6	201806
6/17/2018	6/23/2018	2425	25	2018	2017\2018	201825	6	201806
6/24/2018	6/30/2018	2426	26	2018	2017\2018	201826	6	201806
7/1/2018	7/7/2018	2427	27	2018	2018\2019	201827	7	201807
7/8/2018	7/14/2018	2428	28	2018	2018\2019	201828	7	201807
7/15/2018	7/21/2018	2429	29	2018	2018\2019	201829	7	201807
7/22/2018	7/28/2018	2430	30	2018	2018\2019	201830	7	201807
7/29/2018	8/4/2018	2431	31	2018	2018\2019	201831	8	201808
8/5/2018	8/11/2018	2432	32	2018	2018\2019	201832	8	201808
8/12/2018	8/18/2018	2433	33	2018	2018\2019	201833	8	201808
8/19/2018	8/25/2018	2434	34	2018	2018\2019	201834	8	201808
8/26/2018	9/1/2018	2435	35	2018	2018\2019	201835	8	201808
9/2/2018	9/8/2018	2436	36	2018	2018\2019	201836	9	201809
9/9/2018	9/15/2018	2437	37	2018	2018\2019	201837	9	201809
9/16/2018	9/22/2018	2438	38	2018	2018\2019	201838	9	201809
9/23/2018	9/29/2018	2439	39	2018	2018\2019	201839	9	201809
9/30/2018	10/6/2018	2440	40	2018	2018\2019	201840	10	201810
10/7/2018	10/13/2018	2441	41	2018	2018\2019	201841	10	201810
10/14/2018	10/20/2018	2442	42	2018	2018\2019	201842	10	201810
10/21/2018	10/27/2018	2443	43	2018	2018\2019	201843	10	201810
10/28/2018	11/3/2018	2444	44	2018	2018\2019	201844	10	201810
11/4/2018	11/10/2018	2445	45	2018	2018\2019	201845	11	201811
11/11/2018	11/17/2018	2446	46	2018	2018\2019	201846	11	201811
11/18/2018	11/24/2018	2447	47	2018	2018\2019	201847	11	201811
11/25/2018	12/1/2018	2448	48	2018	2018\2019	201848	11	201811
12/2/2018	12/8/2018	2449	49	2018	2018\2019	201849	12	201812
12/9/2018	12/15/2018	2450	50	2018	2018\2019	201850	12	201812
12/16/2018	12/22/2018	2451	51	2018	2018\2019	201851	12	201812
12/23/2018	12/29/2018	2452	52	2018	2018\2019	201852	12	201812
12/30/2018	1/5/2019	2453	1	2019	2018\2019	201901	1	201901
1/6/2019	1/12/2019	2454	2	2019	2018\2019	201902	1	201901
1/13/2019	1/19/2019	2455	3	2019	2018\2019	201903	1	201901
1/20/2019	1/26/2019	2456	4	2019	2018\2019	201904	1	201901
1/27/2019	2/2/2019	2457	5	2019	2018\2019	201905	1	201901
2/3/2019	2/9/2019	2458	6	2019	2018\2019	201906	2	201902
2/10/2019	2/16/2019	2459	7	2019	2018\2019	201907	2	201902
2/17/2019	2/23/2019	2460	8	2019	2018\2019	201908	2	201902
2/24/2019	3/2/2019	2461	9	2019	2018\2019	201909	2	201902
3/3/2019	3/9/2019	2462	10	2019	2018\2019	201910	3	201903
3/10/2019	3/16/2019	2463	11	2019	2018\2019	201911	3	201903
3/17/2019	3/23/2019	2464	12	2019	2018\2019	201912	3	201903
3/24/2019	3/30/2019	2465	13	2019	2018\2019	201913	3	201903
3/31/2019	4/6/2019	2466	14	2019	2018\2019	201914	4	201904
4/7/2019	4/13/2019	2467	15	2019	2018\2019	201915	4	201904
4/14/2019	4/20/2019	2468	16	2019	2018\2019	201916	4	201904
4/21/2019	4/27/2019	2469	17	2019	2018\2019	201917	4	201904
4/28/2019	5/4/2019	2470	18	2019	2018\2019	201918	5	201905
5/5/2019	5/11/2019	2471	19	2019	2018\2019	201919	5	201905
5/12/2019	5/18/2019	2472	20	2019	2018\2019	201920	5	201905
5/19/2019	5/25/2019	2473	21	2019	2018\2019	201921	5	201905
5/26/2019	6/1/2019	2474	22	2019	2018\2019	201922	5	201905
6/2/2019	6/8/2019	2475	23	2019	2018\2019	201923	6	201906
6/9/2019	6/15/2019	2476	24	2019	2018\2019	201924	6	201906
6/16/2019	6/22/2019	2477	25	2019	2018\2019	201925	6	201906
6/23/2019	6/29/2019	2478	26	2019	2018\2019	201926	6	201906
6/30/2019	7/6/2019	2479	27	2019	2019\2020	201927	7	201907
7/7/2019	7/13/2019	2480	28	2019	2019\2020	201928	7	201907
7/14/2019	7/20/2019	2481	29	2019	2019\2020	201929	7	201907
7/21/2019	7/27/2019	2482	30	2019	2019\2020	201930	7	201907
7/28/2019	8/3/2019	2483	31	2019	2019\2020	201931	7	201907
8/4/2019	8/10/2019	2484	32	2019	2019\2020	201932	8	201908
8/11/2019	8/17/2019	2485	33	2019	2019\2020	201933	8	201908
8/18/2019	8/24/2019	2486	34	2019	2019\2020	201934	8	201908
8/25/2019	8/31/2019	2487	35	2019	2019\2020	201935	8	201908
9/1/2019	9/7/2019	2488	36	2019	2019\2020	201936	9	201909
9/8/2019	9/14/2019	2489	37	2019	2019\2020	201937	9	201909
9/15/2019	9/21/2019	2490	38	2019	2019\2020	201938	9	201909
9/22/2019	9/28/2019	2491	39	2019	2019\2020	201939	9	201909
9/29/2019	10/5/2019	2492	40	2019	2019\2020	201940	10	201910
10/6/2019	10/12/2019	2493	41	2019	2019\2020	201941	10	201910
10/13/2019	10/19/2019	2494	42	2019	2019\2020	201942	10	201910
10/20/2019	10/26/2019	2495	43	2019	2019\2020	201943	10	201910
10/27/2019	11/2/2019	2496	44	2019	2019\2020	201944	10	201910
11/3/2019	11/9/2019	2497	45	2019	2019\2020	201945	11	201911
