,season,state,ag,rcu,pi,osh
180,2,MI,4,5277,182,1
181,2,CA,5,47210,11997,0
182,2,CA,5,93510,6354,1
183,2,GA,5,11014,2214,0
184,2,GA,5,23039,1344,1
185,2,OR,5,4281,785,0
186,2,OR,5,12379,818,1
187,2,CT,5,6495,1260,0
188,2,CT,5,10881,735,1
189,2,CO,5,3691,700,0
190,2,CO,5,11761,983,1
191,2,NM,5,1982,532,0
192,2,NM,5,5558,508,1
193,2,NY,5,36546,7570,0
194,2,NY,5,51479,2664,1
195,2,MN,5,5862,1145,0
196,2,MN,5,14423,1304,1
197,2,TN,5,12337,2945,0
198,2,TN,5,19160,1458,1
199,2,MI,5,15797,3218,0
200,2,MI,5,30030,1963,1
201,3,CA,1,389,43,0
202,3,CA,1,151,37,1
203,3,GA,1,125,12,0
204,3,GA,1,52,14,1
205,3,OR,1,28,3,0
206,3,OR,1,14,0,1
207,3,CT,1,22,0,0
208,3,CT,1,5,1,1
209,3,CO,1,58,4,0
210,3,CO,1,24,7,1
211,3,NM,1,8,2,0
212,3,NM,1,9,5,1
213,3,NY,1,179,15,0
214,3,NY,1,67,13,1
215,3,MN,1,32,3,0
216,3,MN,1,19,10,1
217,3,TN,1,94,8,0
218,3,TN,1,38,8,1
219,3,MI,1,102,4,0
220,3,MI,1,34,6,1
221,3,CA,2,199,32,0
222,3,CA,2,136,12,1
223,3,GA,2,44,4,0
224,3,GA,2,56,11,1
225,3,OR,2,9,0,0
226,3,OR,2,15,1,1
227,3,CT,2,10,3,0
228,3,CT,2,19,1,1
229,3,CO,2,29,5,0
230,3,CO,2,12,2,1
231,3,NM,2,3,1,0
232,3,NM,2,5,1,1
233,3,NY,2,97,21,0
234,3,NY,2,61,15,1
235,3,MN,2,21,4,0
236,3,MN,2,17,2,1
237,3,TN,2,57,13,0
238,3,TN,2,36,4,1
239,3,MI,2,33,7,0
240,3,MI,2,39,5,1
241,3,CA,3,4061,707,0
242,3,CA,3,4815,274,1
243,3,GA,3,1423,188,0
244,3,GA,3,1862,72,1
245,3,OR,3,302,40,0
246,3,OR,3,386,20,1
247,3,CT,3,280,34,0
248,3,CT,3,378,12,1
249,3,CO,3,390,57,0
250,3,CO,3,676,42,1
251,3,NM,3,159,36,0
252,3,NM,3,290,36,1
253,3,NY,3,2158,367,0
254,3,NY,3,2346,141,1
255,3,MN,3,319,48,0
256,3,MN,3,556,35,1
257,3,TN,3,1084,209,0
258,3,TN,3,1400,61,1
259,3,MI,3,917,158,0
260,3,MI,3,1437,82,1
261,3,CA,4,11825,2200,0
262,3,CA,4,15961,653,1
263,3,GA,4,3891,604,0
264,3,GA,4,6045,213,1
265,3,OR,4,1040,172,0
266,3,OR,4,1762,62,1
267,3,CT,4,1116,165,0
268,3,CT,4,1418,27,1
269,3,CO,4,1115,219,0
270,3,CO,4,2177,107,1
271,3,NM,4,504,88,0
272,3,NM,4,1024,62,1
273,3,NY,4,7393,1237,0
274,3,NY,4,8308,257,1
275,3,MN,4,1155,193,0
276,3,MN,4,1845,101,1
277,3,TN,4,3494,714,0
278,3,TN,4,4610,171,1
279,3,MI,4,3529,635,0
280,3,MI,4,5573,183,1
281,3,CA,5,47459,12082,0
282,3,CA,5,98617,6480,1
283,3,GA,5,11956,2421,0
284,3,GA,5,25131,1614,1
285,3,OR,5,4449,820,0
286,3,OR,5,12935,859,1
287,3,CT,5,6766,1293,0
288,3,CT,5,11252,799,1
289,3,CO,5,3912,756,0
290,3,CO,5,12232,913,1
291,3,NM,5,2029,513,0
292,3,NM,5,5574,469,1
293,3,NY,5,37734,8495,0
294,3,NY,5,54436,3040,1
295,3,MN,5,5954,1130,0
296,3,MN,5,15423,1450,1
297,3,TN,5,12716,3191,0
298,3,TN,5,20229,1577,1
299,3,MI,5,16122,3409,0
300,3,MI,5,31433,1931,1
301,4,CA,1,361,40,0
302,4,CA,1,122,30,1
303,4,GA,1,141,8,0
304,4,GA,1,59,10,1
305,4,OR,1,20,1,0
306,4,OR,1,3,2,1
307,4,CT,1,20,1,0
308,4,CT,1,9,0,1
309,4,CO,1,52,7,0
310,4,CO,1,16,3,1
311,4,NM,1,12,4,0
312,4,NM,1,6,0,1
313,4,NY,1,165,18,0
314,4,NY,1,92,18,1
315,4,MN,1,74,7,0
316,4,MN,1,24,12,1
317,4,TN,1,92,7,0
318,4,TN,1,31,6,1
319,4,MI,1,87,9,0
320,4,MI,1,48,13,1
321,4,CA,2,185,32,0
322,4,CA,2,154,18,1
323,4,GA,2,48,6,0
324,4,GA,2,59,3,1
325,4,OR,2,13,3,0
326,4,OR,2,12,1,1
327,4,CT,2,11,2,0
328,4,CT,2,8,0,1
329,4,CO,2,23,4,0
330,4,CO,2,13,2,1
331,4,NM,2,4,2,0
332,4,NM,2,5,1,1
333,4,NY,2,91,12,0
334,4,NY,2,71,15,1
335,4,MN,2,28,4,0
336,4,MN,2,13,1,1
337,4,TN,2,49,9,0
338,4,TN,2,29,6,1
339,4,MI,2,24,4,0
340,4,MI,2,38,4,1
341,4,CA,3,4109,834,0
342,4,CA,3,4914,306,1
343,4,GA,3,1329,220,0
344,4,GA,3,1910,98,1
345,4,OR,3,272,49,0
346,4,OR,3,418,21,1
347,4,CT,3,289,31,0
348,4,CT,3,360,13,1
349,4,CO,3,396,93,0
350,4,CO,3,706,65,1
351,4,NM,3,193,56,0
352,4,NM,3,285,31,1
353,4,NY,3,2061,375,0
354,4,NY,3,2420,107,1
355,4,MN,3,353,58,0
356,4,MN,3,582,39,1
357,4,TN,3,1153,264,0
