"dvd" "agcat" "allcause" "flu" "pneum" "AH3" "AH1" "B" "pop"
"108" 201243 1 651 0 10 0.000185392819404664 2.50530837033329e-06 0.000232484124196183 73649623.7549126
"109" 201244 1 680 1 16 0.000295692687833858 6.68232062901375e-06 0.000285194610254754 73646763.5449291
"110" 201245 1 738 4 10 0.000396411338642814 6.07526955774428e-06 0.000377718201542062 73643942.450633
"111" 201246 1 697 3 16 0.000780008704040134 1.66846781612863e-05 0.00049226582965291 73641160.8970836
"112" 201247 1 693 8 18 0.00172517998176109 1.26851469247139e-05 0.0008593416971868 73638419.3093397
"113" 201248 1 719 0 21 0.00194993052039515 3.59531657773509e-05 0.000952477128477718 73635718.1124603
"114" 201249 1 710 10 21 0.003835662176208 8.30743664401485e-05 0.00140002724344182 73633057.7315046
"115" 201250 1 702 2 27 0.00509459255408423 7.45446234920351e-05 0.00182939260585266 73630438.5915314
"116" 201251 1 616 7 33 0.007402516036115 0.000115077184571585 0.00281154967339935 73627861.1175999
"117" 201252 1 711 15 31 0.0104885802294707 0.000240548651194269 0.00403507577679951 73625325.734769
"118" 201301 1 725 11 22 0.00887081628842894 0.00022484326516802 0.0027745033458454 73622832.8680977
"119" 201302 1 691 9 23 0.00844116263142289 0.000271009942840773 0.00238701186757836 73620382.942645
"120" 201303 1 720 16 27 0.00785795393640062 0.000289110334989523 0.00233896768320568 73617976.3834701
"121" 201304 1 690 10 24 0.00636040395072641 0.00034869900415158 0.00226735007501124 73615613.6156317
"122" 201305 1 695 7 20 0.00426919198034025 0.000324131538863042 0.00222489107961409 73613295.0641891
"123" 201306 1 708 7 27 0.00281304942603651 0.000267470273295275 0.00218304545621938 73611021.1542012
"124" 201307 1 719 13 26 0.00187580702133488 0.000174101849285573 0.00209047434959052 73608792.3107269
"125" 201308 1 711 7 25 0.00141976962848025 0.000192566455357091 0.00217314863473728 73606608.9588254
"126" 201309 1 710 3 25 0.000992618953315024 0.000128259752394638 0.00213164590128664 73604471.5235557
"127" 201310 1 771 8 22 0.00079617096410679 0.000132194424229052 0.00230765110814909 73602380.4299766
"128" 201311 1 751 11 22 0.000635792238672343 0.000136769260644632 0.00214143472624363 73600336.1031474
"129" 201312 1 684 5 11 0.000461070875671729 9.61946431257564e-05 0.00172297400199631 73598338.9681268
"130" 201313 1 674 2 25 0.000296609381947866 0.000100908346435872 0.0014546204283079 73596389.4499741
"131" 201314 1 741 2 21 0.00031080596793681 7.62354260977082e-05 0.00118212642829147 73594487.9737482
"132" 201315 1 704 2 20 0.000142928444379368 0.000102091745985263 0.00075455081350926 73592634.9645081
"133" 201316 1 675 2 16 0.000124731960001474 5.63305625813106e-05 0.00045265630645696 73590830.8473128
"134" 201317 1 714 2 23 9.76243020361659e-05 5.71010068513424e-05 0.000337080137219214 73589076.0472213
"135" 201318 1 704 1 11 6.7562586000026e-05 2.25208620000087e-05 0.000253359697500097 73587370.9892927
"136" 201319 1 713 1 21 6.82221905426551e-05 2.48080692882382e-05 0.000231075161515445 73585716.0985859
"137" 201320 1 713 1 19 5.05875479766969e-05 2.52937739883485e-05 0.000177056417918439 73584111.80016
"138" 201321 1 745 0 9 4.36200582503721e-05 2.83530378627418e-05 0.000168980312613398 73582558.519074
"139" 201322 1 735 0 14 5.68182457484324e-05 5.24476114600915e-05 0.000162136433277164 73581056.6803868
"140" 201323 1 725 0 11 5.2494061481272e-05 5.2494061481272e-05 0.000114251780871004 73579606.7091576
"141" 201324 1 747 0 14 4.21227832514582e-05 7.02046387524303e-05 8.77557984405379e-05 73578209.0304453
"142" 201325 1 725 0 9 3.3964136954979e-05 7.64193081487028e-05 7.24391358492912e-05 73576864.0693089
"143" 201326 1 730 1 13 1.20879586511402e-05 7.9780527097525e-05 2.04152190552589e-05 73575572.2508075
"144" 201327 1 697 0 14 4.27802157267144e-05 7.27263667354144e-05 3.30018807034654e-05 73574334
"145" 201328 1 742 2 13 7.17859550832694e-05 4.78573033888463e-05 1.70918940674451e-05 73573149.5765324
"146" 201329 1 782 0 7 2.03610576220249e-05 0.000101805288110124 3.1414203188267e-05 73572018.5783982
"147" 201330 1 653 1 7 3.86384314174882e-05 6.6739108812025e-05 1.56114874414094e-05 73570940.4381779
"148" 201331 1 696 0 11 3.61078392292978e-05 7.54982092976227e-05 3.13892011481964e-05 73569914.588452
"149" 201332 1 756 0 12 2.35049953526043e-05 6.5813986987292e-05 1.03060364238342e-05 73568940.4618009
"150" 201333 1 692 0 13 1.40156077626857e-05 0.000112124862101485 2.22600829172067e-05 73568017.490805
"151" 201334 1 727 1 13 3.80333233079178e-05 0.000104591639096774 3.47865761962663e-06 73567145.1080449
"152" 201335 1 692 0 11 2.05032572359641e-05 0.000205032572359641 2.69296512949976e-05 73566322.746101
"153" 201336 1 728 0 10 4.50841994858994e-05 0.000216404157532317 3.58203228792078e-05 73565549.8375537
"154" 201337 1 669 0 14 2.57711842786622e-05 0.000176716692196541 1.68739897062669e-05 73564825.8149835
"155" 201338 1 722 2 10 3.01143253874599e-05 0.000175666898093516 6.85937411603253e-05 73564150.110971
"156" 201339 1 671 2 13 4.76097890554021e-05 0.000280368757770701 4.95061957473363e-05 73563522.1580964
"157" 201340 1 671 2 13 3.37015706754494e-05 0.000212319895255331 6.08440184559994e-05 73562941.3889404
"158" 201341 1 685 0 16 8.10324746125553e-05 0.000214736057723272 6.73294219951476e-05 73562407.2360833
"159" 201342 1 679 2 18 5.92599796642136e-05 0.000177779938992641 5.54774277707532e-05 73561919.1321057
"160" 201343 1 685 0 6 5.87099141561501e-05 0.000241746705348853 3.89480803062041e-05 73561476.5095879
"161" 201344 1 695 0 15 8.44835164113172e-05 0.000307212786950244 7.83392606723123e-05 73561078.8011105
"162" 201345 1 709 1 14 7.65444560404376e-05 0.000452610696586935 9.30674891555681e-05 73560725.4392538
"163" 201346 1 666 1 13 4.09934138065497e-05 0.000569085038726219 8.90822519185016e-05 73560415.8565985
"164" 201347 1 663 3 13 3.05651772126352e-05 0.000745790323988299 0.000126192060265876 73560149.4857249
"165" 201348 1 639 1 15 9.01601890300334e-05 0.00143880634993762 0.000123250026017 73559925.7592134
"166" 201349 1 689 2 16 6.83502600112951e-05 0.00216354861497292 0.000145857756318327 73559744.1096446
"167" 201350 1 679 3 18 0.000146235952015283 0.00313362754318464 0.000117960002897541 73559603.9695989
"168" 201351 1 709 3 24 0.00015245765854921 0.00616085307368088 0.00015070136445221 73559504.7716568
"169" 201352 1 677 8 24 0.000168516458036309 0.00936596735191273 0.00028517555179307 73559445.9483988
"170" 201401 1 685 5 22 0.000245116883955614 0.00787599250815277 0.000204211569991064 73559426.9324052
"171" 201402 1 710 12 35 0.000178371714776814 0.00552952315808124 0.000188337930252685 73559447.1562566
"172" 201403 1 693 12 26 0.000195913840637495 0.00484648996062464 0.000232607043625624 73559506.0525334
"173" 201404 1 707 10 27 0.000233128432476678 0.00402676383368808 0.000299917648645868 73559603.053816
"174" 201405 1 660 8 17 0.000166090677881736 0.00303824410759272 0.000314967107264346 73559737.592685
"175" 201406 1 704 6 24 0.000200637683923113 0.00216757292716936 0.000363305036928958 73559909.1017208
"176" 201407 1 707 4 22 0.00016746776573481 0.00176345575002679 0.000306616463788916 73560117.0135039
"177" 201408 1 689 5 14 0.000119181993721171 0.00114863805542867 0.000330211685805188 73560360.7606147
"178" 201409 1 702 5 21 0.000121768968153391 0.000759453827693518 0.000356189791497176 73560639.7756337
"179" 201410 1 706 5 15 0.000165909075639588 0.000610240278214578 0.000405267858816257 73560953.4911413
"180" 201411 1 650 1 13 0.000181197386686547 0.000448984674975515 0.000461812808546244 73561301.339718
"181" 201412 1 693 1 27 0.000332395866619216 0.000396412848338472 0.000706889655861216 73561682.7539443
"182" 201413 1 682 3 23 0.000408057082466215 0.000322004228340687 0.000878881501086771 73562097.1664006
"183" 201414 1 654 1 16 0.000470868474157848 0.000251859881526291 0.00102386517055253 73562544.0096674
"184" 201415 1 691 1 20 0.000612075036398507 0.000182320223608066 0.000971583793837036 73563022.7163251
"185" 201416 1 685 4 22 0.000550303296765679 6.87879120957099e-05 0.000775927648439608 73563532.7189543
"186" 201417 1 732 1 15 0.00044505067175306 7.79650811830179e-05 0.000627085213979481 73564073.4501354
"187" 201418 1 705 3 22 0.000407167194235937 3.27187923939592e-05 0.000662386456611297 73564644.3424487
"188" 201419 1 754 3 11 0.000392268691472503 3.192884698032e-05 0.000525196952370162 73565244.8284749
"189" 201420 1 656 0 19 0.000337429467021284 2.15380510864649e-05 0.000447284923356481 73565874.3407943
"190" 201421 1 696 1 15 0.000249605491491056 0 0.000371288168592946 73566532.3119874
"191" 201422 1 694 1 19 0.0002732377214158 2.62728578284423e-06 0.00030285180138112 73567218.1746347
"192" 201423 1 704 3 13 0.000175256710732221 5.97466059314391e-06 0.000253723919855512 73567931.3613166
"193" 201424 1 671 3 14 0.000157627201357612 5.08474843089071e-06 0.000232445642555004 73568671.3046137
"194" 201425 1 760 1 10 0.000145735333096144 4.55422915925449e-06 0.000178468855178285 73569437.4371063
"195" 201426 1 724 0 13 0.000106186480112294 2.58991414908034e-06 0.000146168279788722 73570229.1913749
"196" 201427 1 699 0 11 9.19213943074224e-05 3.99658236119228e-06 0.000177625882719657 73571046
"197" 201428 1 713 0 14 0.000114001456923285 2.32656034537316e-06 0.000106634015829603 73571887.2557729
"198" 201429 1 694 2 13 6.33671848489223e-05 0 9.35420347769805e-05 73572752.192328
"199" 201430 1 702 0 17 7.37107519074323e-05 3.98436496796931e-06 8.3450310718024e-05 73573640.0035108
"200" 201431 1 732 0 7 8.62154654356582e-05 1.69049932226781e-06 6.278997482709e-06 73574549.8831667
"201" 201432 1 718 0 6 4.22880664896537e-05 5.15708127922605e-06 3.55838608266598e-05 73575481.025141
"202" 201433 1 684 0 6 7.78626216294671e-05 0 6.05598168229188e-05 73576432.6232789
"203" 201434 1 666 1 4 5.85892105823546e-05 2.66314593556157e-06 6.68207525649995e-05 73577403.871426
"204" 201435 1 728 0 12 6.37405248209495e-05 6.37405248209495e-06 6.26023011634325e-05 73578393.9634276
"205" 201436 1 709 0 11 7.98063196776603e-05 1.36254692132591e-05 4.67158944454597e-05 73579402.093129
"206" 201437 1 683 1 10 8.17863349668677e-05 1.25825130718258e-06 1.76155183005561e-05 73580427.4543756
"207" 201438 1 699 1 16 8.48571705398872e-05 5.58270858815047e-06 0.000111111851500161 73581469.2410127
"208" 201439 1 639 0 13 0.000134930619181949 0 0.000117439612991696 73582526.6468858
"209" 201440 1 703 1 13 0.000144388846389345 3.20864103087433e-06 0.000115571617508285 73583598.8658401
"210" 201441 1 721 0 22 0.000204640583938361 9.21804432154781e-06 0.000168413669754679 73584685.0917211
"211" 201442 1 702 1 15 0.00027300977643077 6.72437872982191e-06 0.000182027966994452 73585784.518374
"212" 201443 1 658 1 14 0.000306145972800478 8.0142924816879e-06 0.000138683360349785 73586896.3396444
"213" 201444 1 633 1 16 0.000455226364160507 7.03052299861786e-06 0.000151722352533823 73588019.7493774
"214" 201445 1 714 1 14 0.000786888463701368 1.08536339820878e-05 0.000181109016771379 73589153.9414185
"215" 201446 1 701 3 17 0.00099133518384801 1.52220373719464e-05 0.000173023478681739 73590298.109613
"216" 201447 1 682 2 21 0.00202561823181853 1.26285425923848e-05 0.000174380158820569 73591451.4478064
"217" 201448 1 677 3 13 0.00366763398535206 1.59323804750307e-05 0.000251042530829631 73592613.1498439
"218" 201449 1 687 3 16 0.00411295063964997 1.41407929653977e-05 0.000248395911779554 73593782.4095709
"219" 201450 1 656 9 12 0.00693764186880531 1.1738818728943e-05 0.000294080970364313 73594958.4208329
"220" 201451 1 684 16 21 0.0109321054241007 6.28462513601648e-06 0.000312170242597233 73596140.377475
"221" 201452 1 695 9 32 0.0159855112255115 1.23886679608718e-05 0.000495741835520775 73597327.4733428
"222" 201453 1 723 11 22 0.0109599858913314 6.07874980107123e-06 0.000454975022344859 73598518.9022815
"223" 201501 1 697 11 20 0.00675842720645407 1.54522485429073e-05 0.000325344897746876 73599713.8581366
"224" 201502 1 733 7 21 0.00646556028163534 1.19217460632489e-05 0.000437122707633405 73600911.5347533
"225" 201503 1 701 10 24 0.00659782278956117 7.07920900167507e-06 0.000519836807521459 73602111.1259771
"226" 201504 1 709 7 23 0.00524647148040586 1.40656071860747e-05 0.000565205202645196 73603311.8256533
"227" 201505 1 685 7 21 0.00390866827124536 1.36190532099141e-05 0.000687215161417717 73604512.8276273
"228" 201506 1 757 5 26 0.00266688352196686 4.23987841330185e-06 0.000814130499390181 73605713.3257444
"229" 201507 1 717 3 39 0.00191027738321851 8.76274028999318e-06 0.00101110716184857 73606912.51385
"230" 201508 1 773 9 36 0.00117589765723554 2.22513384920845e-05 0.00098782303789773 73608109.5857895
"231" 201509 1 700 4 16 0.000976062707817922 1.75235674653128e-06 0.00129953142000405 73609303.7354082
"232" 201510 1 678 2 17 0.000641336941661395 1.1625443051264e-05 0.00157126716171492 73610494.1565514
"233" 201511 1 770 7 16 0.00046816848677423 1.81460653788461e-06 0.00145805778555097 73611680.0430646
"234" 201512 1 712 2 19 0.00031142508873883 6.92055752752956e-06 0.00144866601782748 73612860.5887931
"235" 201513 1 712 1 23 0.000222841290932697 5.57103227331743e-06 0.00144429011685754 73614034.9875822
"236" 201514 1 686 3 16 0.000156400792788346 1.46625743239075e-05 0.00119744356978578 73615202.4332773
"237" 201515 1 739 3 9 9.89779416227013e-05 1.71307975885445e-05 0.000850649289379232 73616362.1197239
"238" 201516 1 735 2 23 6.12417482947296e-05 3.22324991024893e-06 0.000645965594258051 73617513.2407671
"239" 201517 1 734 2 20 6.56619877905866e-05 4.6901419850419e-06 0.000561351368834702 73618654.9902525
"240" 201518 1 705 0 16 3.50496114688263e-05 5.84160191147104e-06 0.000523722079063038 73619786.5620254
"241" 201519 1 729 2 25 3.93068172347396e-05 6.55113620578993e-06 0.000346306613912964 73620907.149931
"242" 201520 1 747 0 12 3.3867371966522e-05 1.78249326139589e-06 0.00027840847130374 73622015.9478149
"243" 201521 1 711 2 12 4.42103217276863e-05 0 0.000208672718554679 73623112.1495222
"244" 201522 1 723 1 13 4.38170218346778e-05 0 0.000164752002098388 73624194.9488985
"245" 201523 1 737 2 17 5.28632398762255e-05 3.52421599174837e-06 0.000128633883698815 73625263.5397891
"246" 201524 1 804 0 14 4.39329002675852e-05 0 5.91404426679031e-05 73626317.1160393
"247" 201525 1 757 0 12 5.45407955223307e-05 0 4.67492533048549e-05 73627354.8714945
"248" 201526 1 772 0 11 6.94510146794929e-05 2.67119287228819e-06 5.00848663554036e-05 73628376
"249" 201527 1 708 1 11 3.50205699267314e-05 4.1200670502037e-06 4.09197568395231e-05 73629379.8393839
"250" 201528 1 702 1 7 2.36641852762459e-05 2.44801916650819e-06 4.00387134788896e-05 73630366.3034048
"251" 201529 1 741 0 5 3.80155311844895e-05 3.04124249475916e-06 2.4991079630847e-05 73631335.4498041
"252" 201530 1 716 0 11 4.39686038961425e-05 0 1.46562012987142e-05 73632287.3363231
"253" 201531 1 749 0 10 4.08271048183183e-05 3.55018302767985e-06 1.29433756217494e-05 73633222.0207032
"254" 201532 1 722 2 11 6.37053247608714e-05 2.45020479849505e-06 1.07279237123297e-05 73634139.5606855
"255" 201533 1 746 1 9 5.32521901584548e-05 1.10942062830114e-06 2.10432041755184e-05 73635040.0140115
"256" 201534 1 692 1 9 6.71872382882352e-05 5.5989365240196e-06 2.13032706767575e-05 73635923.4384226
"257" 201535 1 715 0 8 7.78436247012942e-05 4.02639438110143e-06 3.07012571558984e-05 73636789.8916599
"258" 201536 1 746 0 13 6.86300323047193e-05 1.07234425476124e-06 3.56616810304319e-05 73637639.4314649
"259" 201537 1 691 0 16 9.29083562840143e-05 4.47751114621756e-06 3.86451854881872e-05 73638472.1155789
"260" 201538 1 740 0 11 8.92611311884822e-05 1.68417228657514e-06 4.61944398603466e-05 73639288.0017432
"261" 201539 1 604 0 13 8.74054047177154e-05 3.97297294171433e-06 4.30783780394454e-05 73640087.1476991
"262" 201540 1 688 0 13 8.178455206439e-05 5.03289551165477e-06 4.44422648305943e-05 73640869.611188
"263" 201541 1 708 0 22 0.000104360869320791 1.27269352830233e-05 5.45063917983274e-05 73641635.4499512
"264" 201542 1 656 1 17 8.44348862100534e-05 1.68869772420107e-05 5.43168752526529e-05 73642384.72173
"265" 201543 1 661 3 6 7.72175421040282e-05 2.24179960947179e-05 5.2867836595253e-05 73643117.4842657
"266" 201544 1 690 2 10 8.26271944785728e-05 1.43699468658388e-05 6.79979959940205e-05 73643833.7952997
"267" 201545 1 659 0 15 9.39050114420159e-05 3.03810331135934e-05 8.76114740310032e-05 73644533.7125733
"268" 201546 1 674 0 18 6.30671498303857e-05 2.55271796932513e-05 0.00010336005111091 73645217.2938279
